,Alinhado (hsw01),Banana (hsw02)
Cadencia (passos/s),1.9580419580419577,1.7501215362177929
Distancia Percorrida (m),4.142138904389043,4.638121321238921
Comprimento Passada (mm),430.86782881312877,523.378486458804
Largura Base Apoio (mm),666.0959033997278,667.5895433490068
CV Comprimento (%),13.526627817754964,24.590749331721533
CV Tempo (%),25.74237084069611,30.995330873572925
Rotacao Maos (deg),82.79764186984913,81.96886246337834
Desvio Articular Global (deg),58.289281713304206,83.56131148543456
Extensao Cervical (deg),21.528392866429353,19.864470398585
