Metrica,Alinhado (hs01),Banana (hs02)
Tempo de Equilibrio (s),8.885,12.505
Base Apoio (mm),592.9860759219654,638.2422673464288
Rotacao das Maos (deg),42.97293983934795,38.66841131237627
Desvio Articular Global (deg),44.101514904347326,96.35554754396321
Extensao Cervical (deg),16.20575088894203,17.561096674405235
Altura CoM (mm),1067.4148825691516,1029.61717045685
Oscilacao CoM (mm),13.974095808795461,32.87595480124883
Velocidade Forca Horiz. (N/s),212.21145588294172,215.7697806397714
ApEn Forca Global,1.08064078931053,1.055853209688589
